R1,G1,B1,R2,G2,B2,R3,G3,B3,R4,G4,B4,R5,G5,B5,R6,G6,B6,R7,G7,B7,R8,G8,B8,R9,G9,B9
0.1,0.8433239795487032,0.10005987698200836,0.11,0.8533239795487032,0.10005987698200836,0.08,0.8433239795487032,0.05002993849100418,0.799999999998886,0.210656169943774,0.6733256964628132,0.799999999998886,0.210656169943774,0.5386605571702505,0.799999999998886,0.11,0.8998500977417004,0.6045065286847034,0.8433239795487032,0.6000149692455021,0.5945065286847034,0.8331647026214456,0.7000149692455021,0.6945065286847034,0.8433239795487032,0.7000149692455021
0.1,0.8573167141401901,0.10003631829496185,0.11,0.8673167141401901,0.10003631829496185,0.08,0.8573167141401901,0.05001815914748092,0.7999999999994469,0.26,0.5998889448816123,0.7999999999994469,0.26,0.4799111559052898,0.7999999999994469,0.11,0.8998889448816123,0.6066535745378576,0.8573167141401901,0.6000090795737405,0.5966535745378576,0.8493723597841493,0.7000090795737405,0.6966535745378576,0.8573167141401901,0.7000090795737405
0.1,0.8679859296546275,0.10002202855289177,0.11,0.8779859296546275,0.10002202855289177,0.08,0.8679859296546275,0.050011014276445886,0.7999999999994469,0.309343830056226,0.5264421269924202,0.7999999999994469,0.309343830056226,0.42115370159393617,0.7999999999994469,0.11,0.899917725713533,0.607964931142052,0.8679859296546275,0.600005507138223,0.597964931142052,0.8618297014241008,0.700005507138223,0.6979649311420519,0.8679859296546275,0.700005507138223
0.1,0.8760627057808207,0.10001336113747838,0.11,0.8860627057808207,0.10001336113747838,0.08,0.8760627057808207,0.05000668056873919,0.7999999999994469,0.35498724056380626,0.4613039010873394,0.7999999999994469,0.35498724056380626,0.3690431208698715,0.7999999999994469,0.11,0.8999390482653423,0.6087636884216827,0.8760627057808207,0.6000033402843696,0.5987636884216827,0.8713252948641683,0.7000033402843696,0.6987636884216827,0.8760627057808207,0.7000033402843696
0.1,0.8821437248393303,0.10000810399278459,0.11,0.8921437248393304,0.10000810399278459,0.08,0.8821437248393303,0.050004051996392296,0.7999999999994469,0.3942623917495089,0.40941015933559843,0.7999999999994469,0.3942623917495089,0.32752812746847876,0.7999999999994469,0.11,0.8999548450517846,0.6092494088716315,0.8821437248393303,0.6000020259981962,0.5992494088716315,0.8785175591860827,0.7000020259981962,0.6992494088716315,0.8821437248393303,0.7000020259981962
0.1,0.8867033714760543,0.1000049153396817,0.11,0.8967033714760543,0.1000049153396817,0.08,0.8867033714760543,0.05000245766984085,0.7999999999994469,0.42600919256696224,0.37148830116987797,0.7999999999994469,0.42600919256696224,0.29719064093590236,0.7999999999994469,0.11,0.8999665479566074,0.6095444744027997,0.8867033714760543,0.6000012288349205,0.5995444744027997,0.8839390933422593,0.7000012288349204,0.6995444744027997,0.8867033714760543,0.7000012288349204
0.1,0.8901117516324661,0.10000298131142726,0.11,0.9001117516324662,0.10000298131142726,0.08,0.8901117516324661,0.05000149065571363,0.7999999999994469,0.45039853898894117,0.3454901258907429,0.7999999999994469,0.45039853898894117,0.27639210071259435,0.7999999999994469,0.11,0.8999752178779968,0.6097236106815382,0.8901117516324661,0.6000007453278569,0.5997236106815382,0.8880110642615507,0.7000007453278568,0.6997236106815382,0.8901117516324661,0.7000007453278568
0.1,0.8926536859621561,0.10000180825943839,0.11,0.9026536859621561,0.10000180825943839,0.08,0.8926536859621561,0.05000090412971919,0.7999999999994469,0.46841365175303884,0.328437164727988,0.7999999999994469,0.46841365175303884,0.2627497317823904,0.7999999999994469,0.11,0.899981640821448,0.6098323249347668,0.8926536859621561,0.6000004520648596,0.5998323249347668,0.8910610959232327,0.7000004520648596,0.6998323249347668,0.8926536859621561,0.7000004520648596
0.1,0.8945461786575742,0.10000109676576552,0.11,0.9045461786575743,0.10000109676576552,0.08,0.8945461786575742,0.05000054838288276,0.7999999999994469,0.48133791205056564,0.3175737375649169,0.7999999999994469,0.48133791205056564,0.25405899005193355,0.7999999999994469,0.11,0.899986399114103,0.6098982865109724,0.8945461786575742,0.6000002741914414,0.5998982865109724,0.8933410063204792,0.7000002741914414,0.6998982865109724,0.8945461786575742,0.7000002741914414
0.1,0.895953354155153,0.10000066522242224,0.11,0.905953354155153,0.10000066522242224,0.08,0.895953354155153,0.05000033261121112,0.7999999999994469,0.49041713860161784,0.3107816501537005,0.7999999999994469,0.49041713860161784,0.24862532012296043,0.7999999999994469,0.11,0.8999899241764455,0.6099383027120069,0.895953354155153,0.6000001663056056,0.5999383027120069,0.8950426497682743,0.7000001663056056,0.6999383027120069,0.895953354155153,0.7000001663056056
